SN,TN,CN,tgtsize,hand_theta,hand_theta_maxv,hand_theta_maxradv,handMaxRadExt,hand_theta_50,raw_ep_hand_ang,ti,fbi,ri,MT,RT,ST,radvelmax,maxRadDist,testMaxRadDist,discrim,discrim_onset,discrim_dist,stim_type,discrim_tar,problem_report
1,261,53,15,-0.0163155076827479,2.58957643815256,2.58957643815256,5.57875478401161,5.17089012334725,-135.016315507683,225,1,0,0.0960190062749007,0.397191664834509,1.38163473915324,2293.18402745924,142.269755894306,142.269755894306,1,0.3,1,3,195,p
1,262,53,15,-3.76498014083604,-4.48806442327404,-4.48806442327404,-8.16635788528309,-8.82090575643038,41.235019859164,45,1,0,0.10335698601375,0.374198206578967,0.999369321944414,4037.82472119887,121.001835707452,121.001835707452,1,0.3,0,3,45,q
1,263,53,15,-1.25723523068183,-1.25723523068183,-1.25723523068183,1.91233318160141,1.90001112501477,-46.2572352306818,315,1,0,0.144923447281826,0.533809031044711,1.11758645307145,2038.93841142004,129.196090091042,129.196090091042,1,0.5,0,3,315,p
1,264,53,15,1.86079552271582,20.9460726788835,1.85776765778337,1.25329719402947,1.06634360097863,136.860795522716,135,1,0,0.142369787066173,0.454031411914457,1.11012317902487,1153.10747534699,83.3356811621223,83.8615095655635,1,0.3,0,3,135,p
1,265,53,15,3.94629046487449,3.94629046487455,3.94629046487455,4.10731643282031,3.67606141347699,-41.0537095351255,315,1,0,0.170837134227213,0.414386130009689,1.21559694774578,1437.40713415414,118.243424689907,118.515429590079,1,0.3,-1,4,345,q
1,266,54,15,2.72570482094125,2.72570482094125,2.72570482094125,8.90498041113938,8.56520978633341,-132.274295179059,225,1,0,0.10369591161998,0.396267131066679,1.00261315247667,2618.3384664381,148.421071655256,148.811315620375,1,0.5,2,2,165,d
1,267,54,15,-6.69481294806356,-6.69481294806356,-6.69481294806356,-10.008523682378,-9.57181505950599,38.3051870519364,45,1,0,0.089195123798163,0.373546796372239,1.36277749534088,2660.48061135327,128.120753038978,128.120753038978,1,0.3,2,2,345,q
1,268,54,15,-5.19616573593913,-11.6107529425679,-5.1961657359391,NaN,-4.40923953494928,129.803834264061,135,1,0,0.154398941879435,0.403907379563861,0.987827522922998,1058.61209976113,NaN,79.0352968749761,1,0.5,-2,2,195,d
1,269,54,15,-6.81664353501166,-8.11062704932124,-8.11062704932124,-9.73412473408648,-9.63542349096097,38.1833564649883,45,1,0,0.0917010099265099,0.368112268506366,1.54822749119307,1814.957307222,128.344612402519,128.344612402519,1,0.5,-1,4,75,p
1,270,54,15,0.752072350256299,2.23742951902244,0.752072350256299,3.27583331128739,3.10431919003457,-134.247927649744,225,1,0,0.116180272366137,0.366982516486814,1.16127991288977,1175.2085756796,125.268353641939,125.901375814039,1,0.4,-1,4,255,d
1,271,55,15,9.19449115198231,23.883235411865,167.477345365511,NaN,7.56350126599614,144.194491151982,135,1,0,0.167746841802455,0.439137915078845,1.22800408874195,905.681858750341,NaN,77.0543633920452,1,0.4,2,2,75,d
1,272,55,15,1.97404992872293,2.07631616906855,2.07631616906855,1.92176780835877,1.95146034861625,-43.0259500712771,315,1,0,0.175792719349374,0.379280588335632,1.06619535575669,1548.32253930518,125.816205665674,126.188166756067,1,0.3,-2,4,15,d
1,273,55,15,-3.4860680112303,-4.56131710500017,-4.56131710500017,-6.88785761541683,-6.70597115490148,41.5139319887697,45,1,0,0.112780499999417,0.406707722336023,1.08184302216,1941.77617607465,119.282849695825,119.282849695825,1,0.5,2,3,345,d
1,274,55,15,-0.368664364794711,1.1742661415625,-0.368664364794711,2.14451612426848,1.31646849249319,-45.3686643647947,315,1,0,0.150290670771938,0.405537106945076,1.88549512584063,893.711547436052,136.224846812707,136.797512535574,1,0.4,2,1,255,b
1,275,55,15,-1.04297827760229,2.48883359969534,2.48883359969534,5.00081543283693,3.68093700894315,-136.042978277602,225,1,0,0.103323934757782,0.411645880430569,2.18556988176965,2158.31910394006,163.94418804304,163.94418804304,1,0.3,2,1,165,d
1,276,56,15,0.426057374875626,-5.70299611432665,0.426057374875626,NaN,-2.15123031274723,135.426057374876,135,1,0,0.189465422978174,0.453122502375663,1.03337816285557,843.991173702096,NaN,76.7578747743029,1,0.3,-2,1,195,p
1,277,56,15,5.23922337237775,7.56253606822349,7.56253606822349,8.23309288032817,7.80632694858252,-129.760776627622,225,1,0,0.113291592601627,0.407240148021401,1.15428416388113,1251.3336842756,142.533652538817,143.236631733075,1,0.5,1,1,195,b
1,278,56,15,-6.89514732432497,-7.5254138401186,-7.5254138401186,-7.94176438653459,-7.54623900864593,38.104852675675,45,1,0,0.117520350559971,0.421643284405263,1.63899705663471,2237.38067497819,124.811018844582,124.811018844582,1,0.3,2,1,345,d
1,279,56,15,5.32518453952974,5.37128503890349,5.37128503890349,3.32875797293045,3.28575843898079,140.32518453953,135,1,0,0.131261259962002,0.44153022507362,1.62812078972183,1181.7122426808,85.7979652498722,86.1685789974511,1,0.3,-1,2,165,d
1,280,56,15,0.791566335285722,1.725986333592,1.725986333592,1.40869883097844,1.71850377211132,-44.2084336647143,315,1,0,0.159848192576874,0.445822982279878,1.28784458938844,1210.54573555299,118.32257203761,118.825155991744,1,0.4,-1,4,345,q
1,281,57,15,0.896149301692994,0.896149301692994,0.896149301692994,-2.78522907313506,-2.78522907313506,45.896149301693,45,1,0,0.109316127450256,0.406555085626906,1.075880876062,2277.9975399919,119.469740887468,119.469740887468,1,0.3,0,4,45,p
1,282,57,15,0.974856910160042,2.19871703549211,0.956514938455854,NaN,0.931220267633222,135.97485691016,135,1,0,0.174794270955317,0.45838516371191,1.06267750026768,729.321497900034,NaN,76.7432214707363,1,0.3,-2,4,195,q
